path,annotator,value,emotion
00000,human-1,True,Anger
00000,human-3,False,Contentment
00001,human-1,True,Distress
00001,human-3,False,Amusement
00002,human-1,True,Contemplation
00002,human-4,False,Confusion
00003,human-1,True,Astonishment/Surprise
00003,human-3,False,Impatience and Irritability
00004,human-1,True,Anger
00004,human-3,False,Contentment
00005,human-1,False,Intoxication/Altered States of Consciousness
00005,human-3,False,Concentration
00006,human-1,True,Contemplation
00006,human-3,False,Confusion
00007,human-1,True,Infatuation
00007,human-7,False,Disgust
00008,human-1,True,Disgust
00008,human-5,False,Infatuation
00009,human-1,True,Fatigue/Exhaustion
00009,human-5,True,Longing
00010,human-1,False,Infatuation
00010,human-4,False,Disgust
00011,human-1,True,Pleasure/Ecstasy
00011,human-5,False,Fear
00012,human-1,True,Hope/Enthusiasm/Optimism
00012,human-3,False,Hopelessness
00013,human-1,True,Shame
00013,human-5,False,Sexual Lust
00014,human-1,True,Astonishment/Surprise
00014,human-7,False,Impatience and Irritability
00015,human-1,True,Distress
00015,human-5,False,Amusement
00016,human-1,True,Thankfulness/Gratitude
00016,human-3,False,Jealousy & Envy
00017,human-1,True,Sourness
00017,human-3,False,Malevolence/Malice
00018,human-1,True,Relief
00018,human-3,False,Pain
00019,human-1,True,Intoxication/Altered States of Consciousness
00019,human-3,False,Concentration
00020,human-1,True,Teasing
00020,human-4,False,Embarrassment
00021,human-1,True,Amusement
00021,human-5,False,Distress
00022,human-1,True,Teasing
00022,human-4,False,Embarrassment
00023,human-1,True,Disappointment
00023,human-7,False,Triumph
00024,human-1,True,Longing
00024,human-7,False,Fatigue/Exhaustion
00025,human-1,True,Interest
00025,human-3,False,Emotional Numbness
00026,human-1,True,Astonishment/Surprise
00026,human-4,False,Impatience and Irritability
00027,human-1,True,Astonishment/Surprise
00027,human-3,False,Impatience and Irritability
00028,human-1,True,Amusement
00028,human-5,False,Distress
00029,human-1,True,Confusion
00029,human-7,False,Contemplation
00030,human-1,True,Thankfulness/Gratitude
00030,human-4,False,Jealousy & Envy
00031,human-1,True,Disappointment
00031,human-3,True,Triumph
00032,human-1,True,Affection
00032,human-3,False,Bitterness
00033,human-1,True,Awe
00033,human-5,False,Contempt
00034,human-1,True,Pleasure/Ecstasy
00034,human-3,False,Fear
00035,human-1,True,Affection
00035,human-7,False,Bitterness
00036,human-1,True,Emotional Numbness
00036,human-3,False,Interest
00037,human-1,True,Fear
00037,human-5,False,Pleasure/Ecstasy
00038,human-1,True,Distress
00038,human-4,False,Amusement
00039,human-1,True,Emotional Numbness
00039,human-7,False,Interest
00040,human-1,True,Embarrassment
00040,human-3,False,Teasing
00041,human-1,True,Disappointment
00041,human-4,False,Triumph
00042,human-1,True,Contentment
00042,human-7,False,Anger
00043,human-1,True,Longing
00043,human-4,False,Fatigue/Exhaustion
00044,human-1,True,Hopelessness
00044,human-3,False,Hope/Enthusiasm/Optimism
00045,human-1,True,Contempt
00045,human-5,False,Awe
00046,human-1,True,Pleasure/Ecstasy
00046,human-3,True,Fear
00047,human-1,True,Longing
00047,human-7,False,Fatigue/Exhaustion
00048,human-1,True,Sourness
00048,human-3,False,Malevolence/Malice
00049,human-1,True,Triumph
00049,human-3,False,Disappointment
00050,human-1,True,Amusement
00050,human-3,False,Distress
00051,human-1,True,Elation
00051,human-3,False,Sadness
00052,human-1,True,Shame
00052,human-3,False,Sexual Lust
00053,human-1,True,Fatigue/Exhaustion
00053,human-5,False,Longing
00054,human-1,True,Pride
00054,human-5,False,Doubt
00055,human-1,True,Pleasure/Ecstasy
00055,human-3,False,Fear
00056,human-1,True,Jealousy & Envy
00056,human-5,False,Thankfulness/Gratitude
00057,human-1,True,Relief
00057,human-7,False,Pain
00058,human-1,True,Sexual Lust
00058,human-4,True,Shame
00059,human-1,True,Astonishment/Surprise
00059,human-5,False,Impatience and Irritability
00060,human-1,True,Astonishment/Surprise
00060,human-7,False,Impatience and Irritability
00061,human-1,True,Fatigue/Exhaustion
00061,human-5,False,Longing
00062,human-1,True,Disgust
00062,human-3,False,Infatuation
00063,human-1,True,Contemplation
00063,human-3,False,Confusion
00064,human-1,True,Pride
00064,human-3,False,Doubt
00065,human-1,True,Malevolence/Malice
00065,human-3,False,Sourness
00066,human-1,True,Relief
00066,human-5,False,Pain
00067,human-1,True,Teasing
00067,human-4,False,Embarrassment
00068,human-1,True,Fear
00068,human-5,False,Pleasure/Ecstasy
